pore_id,num_removed_atoms,num_ZZ_atoms,num_AC_atoms,num_UA_atoms,num_SB_atoms,count_rim_atoms,num_incomplete_hexagons,num_5_membered_rings,max_dist,shape_factor,360_rot,60_clock_rot,120_clock_rot,180_clock_rot,240_clock_rot,300_clock_rot,mirror_vertical,mirror_90_clock_vertical,mirror_150_clock_vertical,mirror_30_clock_vertical,mirror_60_clock_vertical,mirror_120_clock_vertical,time,probability,unique_id
1,17,9,2,0,0,28,15,1,11.64448285,0.860576001,1,0,0,0,0,0,0,0,0,0,0,0,180.15,0.0625,1
2,17,9,2,0,1,31,16,3,14.01098511,0.738677935,1,0,0,0,0,0,0,0,0,0,0,0,184.65,0.0016,265
3,17,9,4,0,0,32,16,3,14.01098511,0.738677935,1,0,0,0,0,0,0,0,0,0,0,0,192.72,0.0017,157
4,17,7,4,0,1,31,16,3,13.57073908,0.76264126,1,0,0,0,0,0,0,0,0,0,0,0,188.48,0.0017,453
5,17,9,2,0,1,31,16,2,14.01098511,0.738677935,1,0,0,0,0,0,0,0,0,0,0,0,184.13,0.0007,533
6,17,7,6,0,1,35,17,4,14.85238004,0.71827742,1,0,0,0,0,0,0,0,0,0,0,0,193.39,0.0002,1152
7,17,9,4,0,0,32,16,3,14.01098511,0.738677935,1,0,0,0,0,0,0,0,0,0,0,0,191.64,0.0026,328
8,17,5,8,0,0,32,16,3,14.01098511,0.738677935,1,0,0,0,0,0,0,0,0,0,0,0,176.88,0.0037,388
9,17,9,4,0,1,35,17,5,14.01098511,0.761411788,1,0,0,0,0,0,0,0,0,0,0,0,191.12,0.0002,1337
10,17,7,6,0,0,32,16,2,20.9562066,0.493868273,1,0,0,0,0,0,0,0,0,0,0,0,192.05,0.0032,2
11,17,11,2,0,0,32,16,1,16.40622355,0.630834118,1,0,0,0,0,0,0,0,0,0,0,0,192.87,0.0006,94
12,17,8,6,1,0,36,17,2,16.40622355,0.650248925,1,0,0,0,0,0,0,0,0,0,0,0,185.76,0.0001,159
13,17,9,2,0,1,31,16,3,14.01098511,0.738677935,1,0,0,0,0,0,0,0,0,0,0,0,185.22,0.0017,216
14,17,9,2,0,0,28,15,0,12.40193927,0.808015768,1,0,0,0,0,0,0,0,0,0,0,0,173.09,0.0462,16
15,17,4,10,1,0,36,17,5,14.01098511,0.761411788,1,0,0,0,0,0,0,0,0,0,0,0,191.19,0.0002,323
16,17,11,0,0,0,28,15,1,13.57073908,0.738424225,1,0,0,0,0,0,0,0,0,0,1,0,185.5,0.022,82
17,17,9,4,0,0,32,16,3,14.01098511,0.738677935,1,0,0,0,0,0,0,0,0,0,0,0,192.28,0.0026,328
18,17,8,4,1,0,32,16,3,14.01098511,0.738677935,1,0,0,0,0,0,0,0,0,0,0,0,184.41,0.0031,56
19,17,7,4,0,1,31,16,3,13.57073908,0.76264126,1,0,0,0,0,0,0,0,0,0,0,0,182.95,0.0018,163
20,17,7,6,0,0,32,16,2,14.01098511,0.738677935,1,0,0,0,0,0,0,0,0,0,0,0,186.87,0.0021,294
21,17,7,6,0,0,32,16,3,14.01098511,0.738677935,1,0,0,0,0,0,0,0,0,0,0,0,182.94,0.0025,252
22,17,9,4,0,0,32,16,2,14.01098511,0.738677935,1,0,0,0,0,0,0,0,0,0,0,0,188.75,0.0008,96
23,17,8,4,1,0,32,16,3,14.01098511,0.738677935,1,0,0,0,0,0,0,0,0,0,0,0,191.21,0.0032,173
24,17,7,4,0,2,34,17,4,14.85238004,0.71827742,1,0,0,0,0,0,0,0,0,0,0,0,190.38,0.0001,589
25,17,7,4,0,1,31,16,3,13.57073908,0.76264126,1,0,0,0,0,0,0,0,0,0,0,0,183.13,0.0017,109
26,17,5,8,0,0,32,16,2,14.85238004,0.6968314520000001,1,0,0,0,0,0,1,0,0,0,0,0,178.93,0.002,259
27,17,7,6,0,0,32,16,2,14.01098511,0.738677935,1,0,0,0,0,0,0,0,0,0,0,0,182.42,0.0012,130
28,17,6,6,1,1,35,17,3,13.57073908,0.786112618,1,0,0,0,0,0,0,0,0,0,0,0,185.07,0.0001,667
29,17,9,4,0,0,32,16,3,20.66445863,0.500840876,1,0,0,0,0,0,0,0,0,0,0,0,184.6,0.0017,100
30,17,7,6,0,0,32,16,2,13.57073908,0.76264126,1,0,0,0,0,0,0,0,0,0,0,0,184.91,0.0021,419
31,17,7,6,0,1,35,17,4,14.85238004,0.71827742,1,0,0,0,0,0,0,0,0,0,0,0,193.37,0.0001,732
32,17,11,2,0,0,32,16,3,20.66445863,0.500840876,1,0,0,0,0,0,0,0,0,0,0,0,180.63,0.0012,63
33,17,7,4,0,1,31,16,3,14.01098511,0.738677935,1,0,0,0,0,0,0,0,0,0,0,0,187.81,0.0015,12
34,17,9,4,0,0,32,16,3,14.01098511,0.738677935,1,0,0,0,0,0,0,0,0,0,0,0,183.6,0.0026,328
35,17,7,6,0,0,32,16,4,13.57073908,0.76264126,1,0,0,0,0,0,0,0,0,0,0,0,187.47,0.0044,277
36,17,5,8,0,0,32,16,3,20.66445863,0.500840876,1,0,0,0,0,0,0,0,0,0,0,0,184.77,0.0034,199
37,17,5,8,0,0,32,16,2,14.01098511,0.738677935,1,0,0,0,0,0,0,0,0,0,0,0,185.76,0.0028,337
38,17,9,2,0,1,31,16,3,14.01098511,0.738677935,1,0,0,0,0,0,0,0,0,0,0,0,192.11,0.0019,33
39,17,9,4,0,0,32,16,3,13.57073908,0.76264126,1,0,0,0,0,0,0,0,0,0,0,0,185.68,0.0025,315
40,17,9,4,0,0,32,16,3,15.6486,0.6613758129999999,1,0,0,0,0,0,0,0,0,0,0,0,183.3,0.002,247
41,17,7,4,0,1,31,16,2,12.40193927,0.834515097,1,0,0,0,0,0,0,0,0,0,0,0,185.1,0.002,116
42,17,7,6,0,0,32,16,2,14.01098511,0.738677935,1,0,0,0,0,0,0,0,0,0,0,0,179.84,0.0032,2
43,17,11,0,0,0,28,15,1,13.57073908,0.738424225,1,0,0,0,0,0,1,0,0,0,0,0,182.68,0.022,82
44,17,6,8,1,0,36,17,3,14.01098511,0.761411788,1,0,0,0,0,0,0,0,0,0,0,0,188.86,0.0003,908
45,17,9,2,0,0,28,15,1,11.64448285,0.860576001,1,0,0,0,0,0,0,0,0,0,0,0,179.22,0.0625,1
46,17,12,2,1,0,36,17,2,16.40622355,0.650248925,1,0,0,0,0,0,0,0,0,0,0,0,194.7,0.0001,944
47,17,9,2,0,0,28,15,1,11.64448285,0.860576001,1,0,0,0,0,0,0,0,0,0,0,0,181.66,0.0625,1
48,17,7,6,0,0,32,16,3,14.01098511,0.738677935,1,0,0,0,0,0,0,0,0,0,0,0,185.01,0.002,119
49,17,7,4,0,1,31,16,3,12.40193927,0.834515097,1,0,0,0,0,0,0,0,0,0,0,0,188.64,0.0014,283
50,17,9,4,0,0,32,16,3,13.57073908,0.76264126,1,0,0,0,0,0,0,0,0,0,0,0,183.32,0.0031,65
51,17,8,4,1,0,32,16,2,14.01098511,0.738677935,1,0,0,0,0,0,0,0,0,0,0,0,186.05,0.0017,244
52,17,5,8,0,0,32,16,3,13.57073908,0.76264126,1,0,0,0,0,0,0,0,0,0,0,0,187.01,0.0048,30
53,17,9,4,0,0,32,16,3,15.6486,0.6613758129999999,1,0,0,0,0,0,0,0,0,0,0,0,184.82,0.0025,103
54,17,10,2,1,0,32,16,2,14.01098511,0.738677935,1,0,0,0,0,0,0,0,0,0,0,0,189.58,0.0018,220
55,17,9,4,0,0,32,16,3,14.01098511,0.738677935,1,0,0,0,0,0,0,0,0,0,0,0,184.84,0.0014,165
56,17,7,6,0,0,32,16,2,14.85238004,0.6968314520000001,1,0,0,0,0,0,0,0,0,0,0,0,185.21,0.0011,701
57,17,7,6,0,1,35,17,4,16.40622355,0.650248925,1,0,0,0,0,0,0,0,0,0,0,0,195.24,0.0001,1107
58,17,9,2,0,0,28,15,1,12.40193927,0.808015768,1,0,0,0,0,0,0,0,0,0,0,0,177.8,0.059,19
59,17,9,4,0,0,32,16,4,13.57073908,0.76264126,1,0,0,0,0,0,1,0,0,0,0,0,189.82,0.0024,249
60,17,8,4,1,0,32,16,2,12.40193927,0.834515097,1,0,0,0,0,0,0,0,0,0,0,0,184.43,0.0019,102
61,17,11,2,0,0,32,16,3,14.01098511,0.738677935,1,0,0,0,0,0,0,0,0,0,0,0,193.09,0.0018,208
62,17,7,6,0,0,32,16,2,13.57073908,0.76264126,1,0,0,0,0,0,0,0,0,0,0,0,184.23,0.0019,543
63,17,9,4,0,0,32,16,2,14.85238004,0.6968314520000001,1,0,0,0,0,0,0,0,0,0,0,0,192.1,0.0014,634
64,17,9,2,0,0,28,15,0,12.40193927,0.808015768,1,0,0,0,0,0,0,0,0,0,0,0,171.66,0.0462,16
65,17,8,4,1,1,34,17,3,14.01098511,0.761411788,1,0,0,0,0,0,0,0,0,0,0,0,184.24,0.0001,1225
66,17,9,2,0,0,28,15,0,12.40193927,0.808015768,1,0,0,0,0,0,0,0,0,0,0,0,176.28,0.0462,16
67,17,7,6,0,0,32,16,2,14.85238004,0.6968314520000001,1,0,0,0,0,0,0,0,0,0,0,0,183.33,0.0017,180
68,17,9,2,0,1,31,16,2,14.01098511,0.738677935,1,0,0,0,0,0,0,0,0,0,0,0,184.2,0.0007,533
69,17,7,4,0,1,31,16,3,12.40193927,0.834515097,1,0,0,0,0,0,0,0,0,0,0,0,178.46,0.0014,283
70,17,5,8,0,0,32,16,3,14.01098511,0.738677935,1,0,0,0,0,0,0,0,0,0,0,0,183.75,0.0041,97
71,17,5,8,0,0,32,16,4,13.57073908,0.76264126,1,0,0,0,0,0,0,0,0,0,0,0,186.23,0.0054,115
72,17,7,4,0,1,31,16,3,14.01098511,0.738677935,1,0,0,0,0,0,0,0,0,0,0,0,193.8,0.0016,44
73,17,7,4,0,1,31,16,3,12.40193927,0.834515097,1,0,0,0,0,0,0,0,0,0,0,0,182.29,0.0014,356
74,17,10,2,1,0,32,16,2,20.66445863,0.500840876,1,0,0,0,0,0,0,0,0,0,0,0,189.29,0.0012,500
75,17,9,4,0,0,32,16,3,14.01098511,0.738677935,1,0,0,0,0,0,0,0,0,0,0,0,188.24,0.0026,328
76,17,7,4,0,1,31,16,2,14.01098511,0.738677935,1,0,0,0,0,0,0,0,0,0,0,0,177.06,0.0007,120
77,17,8,4,1,0,32,16,3,14.01098511,0.738677935,1,0,0,0,0,0,0,0,0,0,0,0,186.1,0.0032,173
78,17,10,2,1,0,32,16,2,14.01098511,0.738677935,1,0,0,0,0,0,0,0,0,0,0,0,184.34,0.0012,500
79,17,9,2,0,1,31,16,3,12.40193927,0.834515097,1,0,0,0,0,0,0,0,0,0,0,0,188.57,0.0017,274
80,17,7,4,0,1,31,16,3,12.40193927,0.834515097,1,0,0,0,0,0,0,0,0,0,0,0,178.84,0.0025,174
81,17,7,4,0,1,31,16,4,13.57073908,0.76264126,1,0,0,0,0,0,0,0,0,0,0,0,189.89,0.0027,89
82,17,9,2,0,0,28,15,1,11.64448285,0.860576001,1,0,0,0,0,0,0,0,0,0,0,0,184.28,0.0625,1
83,17,9,2,0,0,28,15,1,11.64448285,0.860576001,1,0,0,0,0,0,0,0,0,0,0,0,180.98,0.0625,1
84,17,5,8,0,1,35,17,4,14.01098511,0.761411788,1,0,0,0,0,0,0,0,0,0,0,0,194.64,0.0001,1471
85,17,7,6,0,0,32,16,3,13.57073908,0.76264126,1,0,0,0,0,0,0,0,0,0,0,0,181.51,0.0037,99
86,17,6,6,1,1,34,17,4,14.01098511,0.761411788,1,0,0,0,0,0,0,0,0,0,0,0,194.64,0.0001,1495
87,17,8,4,1,0,32,16,3,12.40193927,0.834515097,1,0,0,0,0,0,0,0,0,0,0,0,185.11,0.0036,307
88,17,9,2,0,1,31,16,2,12.40193927,0.834515097,1,0,0,0,0,0,0,0,0,0,0,0,188.46,0.0005,42
89,17,9,2,0,0,28,15,0,12.40193927,0.808015768,1,0,0,0,0,0,0,0,0,0,0,0,182.41,0.0462,16
90,17,9,2,0,0,28,15,1,12.40193927,0.808015768,1,0,0,0,0,0,0,0,0,0,0,0,170.72,0.059,19
91,17,5,8,0,1,35,17,2,16.40622355,0.650248925,1,0,0,0,0,0,0,0,0,0,0,0,184.86,0.0001,1549
92,17,9,2,0,0,28,15,1,11.64448285,0.860576001,1,0,0,0,0,0,0,0,0,0,0,0,176.65,0.0625,1
93,17,9,2,0,1,31,16,2,14.01098511,0.738677935,1,0,0,0,0,0,0,0,0,0,0,0,191.08,0.0012,184
94,17,9,4,0,0,32,16,1,20.66445863,0.500840876,1,0,0,0,0,0,0,0,0,0,0,0,186.47,0.0003,175
95,17,7,6,0,0,32,16,3,13.57073908,0.76264126,1,0,0,0,0,0,0,0,0,0,0,0,189.9,0.0037,99
96,17,5,8,0,0,32,16,3,13.57073908,0.76264126,1,0,0,0,0,0,0,0,0,0,0,0,179.97,0.0055,10
97,17,8,4,1,0,32,16,3,12.40193927,0.834515097,1,0,0,0,0,0,0,0,0,0,0,0,185.87,0.0038,140
98,17,5,8,0,0,32,16,3,13.57073908,0.76264126,1,0,0,0,0,0,0,0,0,0,0,0,187.4,0.0055,10
99,17,9,2,0,2,34,17,4,14.01098511,0.761411788,1,0,0,0,0,0,0,0,0,0,0,0,189.75,0.0001,1642
100,17,5,8,0,0,32,16,2,13.57073908,0.76264126,1,0,0,0,0,0,0,0,0,0,0,0,183.29,0.0023,3
101,17,6,6,1,0,32,16,3,12.40193927,0.834515097,1,0,0,0,0,0,0,0,0,0,0,0,184.54,0.0043,14
102,17,6,8,1,0,36,17,4,14.01098511,0.761411788,1,0,0,0,0,0,0,0,0,0,0,0,193.51,0.0002,21
103,17,5,8,0,0,32,16,3,13.57073908,0.76264126,1,0,0,0,0,0,0,0,0,0,0,0,190.76,0.0048,30
104,17,5,6,0,1,31,16,3,12.40193927,0.834515097,1,0,0,0,0,0,0,0,0,0,0,0,188.78,0.0024,39
105,17,4,8,1,1,35,17,4,13.57073908,0.786112618,1,0,0,0,0,0,0,0,0,0,0,0,190.31,0.0001,48
106,17,8,4,1,0,32,16,3,12.40193927,0.834515097,1,0,0,0,0,0,0,0,0,0,0,0,194.29,0.0028,38
107,17,7,4,0,1,31,16,2,14.01098511,0.738677935,1,0,0,0,0,0,0,0,0,0,0,0,183.23,0.0006,67
108,17,7,6,0,0,32,16,3,14.01098511,0.738677935,1,0,0,0,0,0,0,0,0,0,0,0,179.98,0.0027,77
109,17,9,4,0,0,32,16,2,14.01098511,0.738677935,1,0,0,0,0,0,0,0,0,0,0,0,190.3,0.0011,87
110,17,5,8,0,0,32,16,3,13.57073908,0.76264126,1,0,0,0,0,0,0,0,0,0,0,0,184.6,0.0055,10
111,17,9,4,0,0,32,16,3,14.01098511,0.738677935,1,0,0,0,0,0,0,0,0,0,0,0,184.52,0.0017,100
112,17,6,6,1,0,32,16,2,12.40193927,0.834515097,1,0,0,0,0,0,0,0,0,0,0,1,188.49,0.0012,104
113,17,6,8,1,0,36,17,4,20.66445863,0.516254958,1,0,0,0,0,0,0,0,0,0,0,0,191.49,0.0002,26
114,17,5,8,0,0,32,16,3,13.57073908,0.76264126,1,0,0,0,0,0,0,0,0,0,0,0,187.35,0.0048,30
115,17,9,2,0,0,28,15,0,12.40193927,0.808015768,1,0,0,0,0,0,0,0,0,0,0,0,175.2,0.0462,16
116,17,9,2,0,1,31,16,4,13.57073908,0.76264126,1,0,0,0,0,0,0,0,0,0,0,0,187.36,0.0027,135
117,17,8,4,1,0,32,16,3,12.40193927,0.834515097,1,0,0,0,0,0,0,0,0,0,0,0,192.94,0.0038,140
118,17,9,2,0,0,28,15,0,12.40193927,0.808015768,1,0,0,0,0,0,0,0,0,0,0,0,178.01,0.0462,16
119,17,7,4,0,1,31,16,2,12.40193927,0.834515097,1,0,0,0,0,0,0,0,0,0,0,0,177.8,0.0011,154
120,17,9,4,0,0,32,16,2,14.01098511,0.738677935,1,0,0,0,0,0,0,0,0,0,0,0,184.55,0.0011,87
121,17,7,6,0,0,32,16,2,14.01098511,0.738677935,1,0,0,0,0,0,0,0,0,0,0,0,177.36,0.0023,166
122,17,5,8,0,0,32,16,3,13.57073908,0.76264126,1,0,0,0,0,0,0,0,0,0,0,0,181.53,0.0055,10
123,17,9,4,0,0,32,16,1,15.84140317,0.653326315,1,0,0,0,0,0,0,0,0,0,0,0,182.55,0.0003,175
124,17,9,2,0,1,31,16,4,13.57073908,0.76264126,1,0,0,0,0,0,0,0,0,0,0,0,184.03,0.0024,74
125,17,8,4,1,0,32,16,2,12.40193927,0.834515097,1,0,0,0,0,0,0,0,0,0,0,0,186.88,0.0015,189
126,17,8,4,1,1,35,17,3,14.01098511,0.761411788,1,0,0,0,0,0,0,0,0,0,0,0,193.76,0.0002,196
127,17,8,4,1,0,32,16,2,14.01098511,0.738677935,1,0,0,0,0,0,0,0,0,0,0,0,194.97,0.0022,13
128,17,9,4,0,0,32,16,3,14.01098511,0.738677935,1,0,0,0,0,0,0,0,0,0,0,0,189.42,0.0016,18
129,17,7,4,0,1,31,16,2,12.40193927,0.834515097,1,0,0,0,0,0,0,0,0,0,0,0,193.74,0.001,211
130,17,3,10,0,1,35,17,6,13.57073908,0.786112618,1,0,0,0,0,0,0,0,0,0,0,0,192.27,0.0001,217
131,17,6,8,1,0,36,17,5,14.01098511,0.761411788,1,0,0,0,0,0,0,0,0,0,0,0,195.69,0.0002,226
132,17,7,4,0,1,31,16,4,12.40193927,0.834515097,1,0,0,0,0,0,0,0,0,0,0,0,184.1,0.0022,233
133,17,9,2,0,1,31,16,2,14.01098511,0.738677935,1,0,0,0,0,0,0,0,0,0,0,0,186.66,0.0011,240
134,17,9,4,0,0,32,16,3,14.01098511,0.738677935,1,0,0,0,0,0,0,0,0,0,0,0,187.7,0.002,46
135,17,7,4,0,1,31,16,2,12.40193927,0.834515097,1,0,0,0,0,0,0,0,0,0,0,0,177.37,0.0015,230
136,17,6,6,1,1,35,17,5,14.01098511,0.761411788,1,0,0,0,0,0,0,0,0,0,0,0,196.08,0.0001,256
137,17,11,2,0,0,32,16,3,14.85238004,0.6968314520000001,1,0,0,0,0,0,0,0,0,0,0,0,184.18,0.0008,263
138,17,7,6,0,0,32,16,3,14.01098511,0.738677935,1,0,0,0,0,0,0,0,0,0,0,0,185.0,0.0044,270
139,17,8,4,1,0,32,16,3,12.40193927,0.834515097,1,0,0,0,0,0,0,0,0,0,0,0,189.39,0.0038,140
140,17,7,6,0,0,32,16,3,13.57073908,0.76264126,1,0,0,0,0,0,0,0,0,0,0,0,187.48,0.0035,276
141,17,7,6,0,0,32,16,3,13.57073908,0.76264126,1,0,0,0,0,0,0,0,0,0,0,0,179.82,0.0025,9
142,17,7,4,0,1,31,16,3,20.66445863,0.500840876,1,0,0,0,0,0,0,0,0,0,0,0,192.05,0.0014,283
143,17,5,8,0,0,32,16,4,13.57073908,0.76264126,1,0,0,0,0,0,0,0,0,0,0,0,187.16,0.0052,15
144,17,7,4,0,1,31,16,3,12.40193927,0.834515097,1,0,0,0,0,0,0,0,0,0,0,0,187.56,0.002,297
145,17,9,2,0,0,28,15,1,12.40193927,0.808015768,1,0,0,0,0,0,0,0,0,0,0,0,178.12,0.059,19
146,17,7,6,0,0,32,16,3,13.57073908,0.76264126,1,0,0,0,0,0,0,0,0,0,0,0,191.69,0.0037,99
147,17,9,2,0,0,28,15,1,12.40193927,0.808015768,1,0,0,0,0,0,0,0,0,0,0,0,183.88,0.059,19
148,17,7,4,0,1,31,16,3,12.40193927,0.834515097,1,0,0,0,0,0,0,0,0,0,0,0,193.04,0.0022,313
149,17,9,2,0,1,31,16,2,14.01098511,0.738677935,1,0,0,0,0,0,0,0,0,0,0,0,189.77,0.0006,317
150,17,9,4,0,0,32,16,2,14.85238004,0.6968314520000001,1,0,0,0,0,0,1,0,0,0,0,0,190.11,0.0008,324
151,17,9,2,0,0,28,15,0,12.40193927,0.808015768,1,0,0,0,0,0,0,0,0,0,0,0,175.63,0.0462,16
152,17,11,0,0,1,31,16,2,14.01098511,0.738677935,1,0,0,0,0,0,0,0,0,0,0,0,185.69,0.0005,336
153,17,5,10,0,1,39,18,5,16.40622355,0.669100624,1,0,0,0,0,0,0,0,0,0,0,0,188.98,0.0001,340
154,17,5,6,0,1,31,16,3,11.64448285,0.8887990720000001,1,0,0,0,0,0,0,0,0,0,0,0,185.92,0.0015,316
155,17,9,2,0,0,28,15,1,11.64448285,0.860576001,1,0,0,0,0,0,0,0,0,0,0,0,183.33,0.0625,1
156,17,7,6,0,0,32,16,3,14.01098511,0.738677935,1,0,0,0,0,0,0,0,0,0,0,0,190.13,0.0026,155
157,17,7,6,0,0,32,16,3,14.01098511,0.738677935,1,0,0,0,0,0,0,0,0,0,0,0,181.45,0.0026,79
158,17,9,4,0,1,35,17,5,15.6486,0.6817305840000001,1,0,0,0,0,0,0,0,0,0,0,0,193.88,0.0002,355
159,17,9,4,0,0,32,16,3,15.84140317,0.653326315,1,0,0,0,0,0,0,0,0,0,0,0,186.93,0.0012,357
160,17,9,2,0,0,28,15,1,12.40193927,0.808015768,1,0,0,0,0,0,0,0,0,0,0,0,181.4,0.059,19
161,17,5,8,0,0,32,16,3,13.57073908,0.76264126,1,0,0,0,0,0,0,0,0,0,0,0,187.37,0.0034,20
162,17,9,4,0,0,32,16,3,13.57073908,0.76264126,1,0,0,0,0,0,0,0,0,0,0,0,188.28,0.0031,65
163,17,9,4,0,0,32,16,1,15.84140317,0.653326315,1,0,0,0,0,0,0,0,0,0,0,0,181.86,0.001,371
164,17,8,4,1,1,35,17,4,13.57073908,0.786112618,1,0,0,0,0,0,0,0,0,0,0,0,189.6,0.0001,374
165,17,9,2,0,1,31,16,3,20.9562066,0.493868273,1,0,0,0,0,0,0,0,0,0,0,0,192.87,0.0019,33
166,17,5,6,0,1,31,16,3,12.40193927,0.834515097,1,0,0,0,0,0,0,0,0,0,0,0,187.81,0.0031,350
167,17,7,8,0,0,36,17,4,14.01098511,0.761411788,1,0,0,0,0,0,0,0,0,0,0,0,198.88,0.0001,384
168,17,4,10,1,0,36,17,4,15.84140317,0.6734333509999999,1,0,0,0,0,0,0,0,0,0,0,0,181.45,0.0004,389
169,17,6,8,1,0,36,17,4,14.85238004,0.71827742,1,0,0,0,0,0,0,0,0,0,0,0,188.97,0.0002,393
170,17,9,2,0,0,28,15,1,12.40193927,0.808015768,1,0,0,0,0,0,0,0,0,0,0,0,185.32,0.059,19
171,17,7,6,0,0,32,16,3,14.01098511,0.738677935,1,0,0,0,0,0,0,0,0,0,0,0,180.32,0.0044,270
172,17,3,10,0,1,35,17,6,14.01098511,0.761411788,1,0,0,0,0,0,0,0,0,0,0,0,193.6,0.0001,401
173,17,11,0,0,0,28,15,1,13.57073908,0.738424225,1,0,0,0,0,0,0,0,0,0,1,0,176.51,0.022,82
174,17,9,2,0,0,28,15,1,12.40193927,0.808015768,1,0,0,0,0,0,0,0,0,0,0,0,180.31,0.059,19
175,17,9,2,0,1,31,16,3,14.01098511,0.738677935,1,0,0,0,0,0,0,0,0,0,0,0,190.31,0.0009,412
176,17,9,2,0,1,31,16,2,20.9562066,0.493868273,1,0,0,0,0,0,0,0,0,0,0,0,190.56,0.0007,416
177,17,7,4,0,1,31,16,3,11.64448285,0.8887990720000001,1,0,0,0,0,0,0,0,0,0,0,0,188.0,0.0027,334
178,17,9,4,0,0,32,16,2,20.9562066,0.493868273,1,0,0,0,0,0,0,0,0,0,0,0,191.95,0.0011,425
179,17,4,10,1,0,36,17,4,15.84140317,0.6734333509999999,1,0,0,0,0,0,0,0,0,0,0,0,188.9,0.0004,389
180,17,7,6,0,0,32,16,3,14.01098511,0.738677935,1,0,0,0,0,0,0,0,0,0,0,0,176.57,0.0031,153
181,17,7,4,0,1,31,16,3,12.40193927,0.834515097,1,0,0,0,0,0,0,0,0,0,0,0,187.51,0.0022,313
182,17,8,6,1,0,36,17,4,15.84140317,0.6734333509999999,1,0,0,0,0,0,0,0,0,0,0,0,187.54,0.0001,435
183,17,8,4,1,1,34,17,3,14.01098511,0.761411788,1,0,0,0,0,0,0,0,0,0,0,0,191.01,0.0001,437
184,17,9,4,0,0,32,16,3,14.01098511,0.738677935,1,0,0,0,0,0,0,0,0,0,0,0,192.87,0.0018,59
185,17,9,2,0,0,28,15,0,12.40193927,0.808015768,1,0,0,0,0,0,0,0,0,0,0,0,175.73,0.0462,16
186,17,9,2,0,1,31,16,2,14.01098511,0.738677935,1,0,0,0,0,0,0,0,0,0,0,0,191.32,0.0012,446
187,17,9,2,0,0,28,15,0,12.40193927,0.808015768,1,0,0,0,0,0,0,0,0,0,0,0,185.92,0.0462,16
188,17,5,8,0,0,32,16,3,13.57073908,0.76264126,1,0,0,0,0,0,0,0,0,0,0,0,186.45,0.0037,11
189,17,7,4,0,1,31,16,3,12.40193927,0.834515097,1,0,0,0,0,0,0,0,0,0,0,0,178.34,0.0023,242
190,17,7,6,0,0,32,16,3,14.01098511,0.738677935,1,0,0,0,0,0,0,0,0,0,0,0,190.39,0.003,306
191,17,6,6,1,0,32,16,3,12.40193927,0.834515097,1,0,0,0,0,0,0,0,0,0,0,0,183.21,0.0043,14
192,17,8,4,1,1,35,17,3,13.57073908,0.786112618,1,0,0,0,0,0,0,0,0,0,0,0,191.82,0.0001,455
193,17,7,6,0,0,32,16,3,14.01098511,0.738677935,1,0,0,0,0,0,0,0,0,0,0,0,186.42,0.0031,153
194,17,7,6,0,0,32,16,4,13.57073908,0.76264126,1,0,0,0,0,0,0,0,0,0,0,0,189.94,0.0044,277
