pore_id,num_removed_atoms,num_ZZ_atoms,num_AC_atoms,num_UA_atoms,num_SB_atoms,count_rim_atoms,num_incomplete_hexagons,num_5_membered_rings,max_dist,shape_factor,360_rot,60_clock_rot,120_clock_rot,180_clock_rot,240_clock_rot,300_clock_rot,mirror_vertical,mirror_90_clock_vertical,mirror_150_clock_vertical,mirror_30_clock_vertical,mirror_60_clock_vertical,mirror_120_clock_vertical,time,probability,unique_id
1,6,4,4,0,0,22,8,3,9.328612045,0.7844978690000001,1,0,0,0,0,0,0,0,0,0,0,0,107.48,0.1546,1
2,6,4,4,0,0,22,8,4,9.328612045,0.7844978690000001,1,0,0,1,0,0,1,1,0,0,0,0,108.43,0.0599,7
3,6,6,0,0,1,21,8,3,9.328612045,0.7844978690000001,1,0,0,0,0,0,0,0,0,0,0,0,107.48,0.1145,9
4,6,6,2,0,0,22,8,3,9.9582,0.7348995070000001,1,0,0,0,0,0,0,0,0,0,0,0,108.43,0.1316,5
5,6,6,0,0,0,18,7,0,7.52769163,0.909391743,1,1,1,1,1,1,1,1,1,1,1,1,93.917,0.1443,3
6,6,6,2,0,0,22,8,2,9.9582,0.7348995070000001,1,0,0,0,0,0,0,0,0,0,0,0,109.14,0.0758,8
7,6,4,4,0,0,22,8,3,9.328612045,0.7844978690000001,1,0,0,0,0,0,0,0,0,0,0,0,108.43,0.1546,1
8,6,8,0,0,0,22,8,2,11.64448285,0.628475851,1,0,0,1,0,0,0,0,0,0,0,0,109.14,0.0439,10
9,6,8,0,0,0,22,8,2,11.64448285,0.628475851,1,0,0,1,0,0,0,0,0,0,0,0,109.14,0.0439,10
10,6,4,4,0,0,22,8,3,9.328612045,0.7844978690000001,1,0,0,0,0,0,0,0,0,0,0,0,108.43,0.1546,1
11,6,6,0,0,1,21,8,2,9.328612045,0.7844978690000001,1,0,0,0,0,0,0,0,0,0,0,0,108.43,0.039,12
