num_removed_atoms,num_ZZ_atoms,num_AC_atoms,num_UA_atoms,num_SB_atoms,count_rim_atoms,num_incomplete_hexagons,num_5_membered_rings,max_dist,shape_factor,360_rot,60_clock_rot,120_clock_rot,180_clock_rot,240_clock_rot,300_clock_rot,time,ZZ_features,AC_features
15,4,6,1,2,34,16,6,12.40193927,0.834515097,1,0,0,0,0,0,181.11,0,0
18,8,4,0,1,33,17,3,14.01098511,0.761411788,1,0,0,0,0,0,189.01,0,0
12,6,6,0,1,33,14,5,14.01098511,0.690969938,1,0,0,0,0,0,163.17,0,0
15,9,2,0,1,31,15,4,13.57073908,0.738424225,1,0,0,0,0,0,184.79,0,0
19,7,6,0,1,35,18,4,14.01098511,0.7834862659999999,1,0,0,0,0,0,203.82,0,0
21,9,6,0,1,39,20,4,17.30667595,0.668598107,1,0,0,0,0,0,201.94,0,0
22,8,6,0,1,37,20,4,15.84140317,0.7304410259999999,1,0,0,0,0,0,209.0,0,0
21,6,8,1,1,38,20,5,14.01098511,0.825867039,1,0,0,0,0,0,204.48,0,0
21,6,8,1,0,36,19,4,14.85238004,0.75935447,1,0,0,0,0,0,205.43,0,0
14,7,4,1,1,33,15,3,13.57073908,0.738424225,1,0,0,0,0,0,171.23,0,0
18,11,4,1,0,38,18,2,20.66445863,0.531221969,1,0,0,0,0,0,190.97,0,0
18,9,2,1,1,33,17,2,14.01098511,0.761411788,1,0,0,0,0,0,194.81,0,0
21,8,6,1,1,39,20,4,14.85238004,0.779081248,1,0,0,0,0,0,210.43,0,0
22,10,4,0,1,37,20,3,15.84140317,0.7304410259999999,1,0,0,0,0,0,207.96,0,0
11,9,4,0,0,32,13,3,14.85238004,0.6281153829999999,1,0,0,0,0,0,159.22,0,0
18,6,8,2,0,38,18,5,14.85238004,0.7391013679999999,1,0,0,0,0,0,195.03,0,0
13,7,6,0,0,32,14,3,14.01098511,0.690969938,1,0,0,0,0,0,164.75,0,0
20,9,6,1,0,38,19,3,17.82512691,0.632714776,1,0,0,0,0,0,196.64,0,0
19,6,6,1,1,34,18,3,14.01098511,0.7834862659999999,1,0,0,0,0,0,198.74,0,0
15,5,8,0,0,32,15,4,14.01098511,0.7152218359999999,1,0,0,0,0,0,182.81,0,0
21,5,8,2,1,39,20,5,14.01098511,0.825867039,1,0,0,0,0,0,211.69,0,0
20,8,6,0,0,34,18,1,16.40622355,0.669100624,1,0,0,0,0,0,192.56,0,0
19,4,10,1,0,36,18,3,13.57073908,0.80890321,1,0,0,0,0,0,199.11,0,1
19,9,2,0,1,31,17,2,14.01098511,0.761411788,1,0,0,0,0,0,203.77,0,0
21,14,2,1,0,40,20,3,19.9164,0.580989073,1,0,0,0,0,0,216.26,0,0
19,5,8,0,1,35,18,5,14.01098511,0.7834862659999999,1,0,0,0,0,0,194.81,0,0
19,8,4,1,1,35,18,3,14.85238004,0.7391013679999999,1,0,0,0,0,0,191.04,0,0
19,7,6,0,1,35,18,5,14.85238004,0.7391013679999999,1,0,0,0,0,0,196.86,0,0
22,6,10,0,0,38,20,4,16.40622355,0.705293985,1,0,0,0,0,0,209.39,0,0
22,8,8,0,0,38,20,3,16.40622355,0.705293985,1,0,0,0,0,0,213.83,0,0
21,8,4,1,1,35,19,4,14.01098511,0.8049556179999999,1,0,0,0,0,0,208.94,0,0
18,10,2,0,1,33,17,3,14.01098511,0.761411788,1,0,0,0,0,0,200.5,0,0
19,7,6,0,1,35,18,5,14.01098511,0.7834862659999999,1,0,0,0,0,0,198.96,0,0
22,10,4,0,0,34,19,2,15.84140317,0.711945846,1,0,0,0,0,0,214.54,0,0
13,6,4,1,1,30,14,3,12.40193927,0.7806173940000001,1,0,0,0,0,0,164.52,0,0
20,9,4,1,1,36,19,4,14.01098511,0.8049556179999999,1,0,0,0,0,0,200.45,0,0
20,12,0,0,1,33,18,1,14.85238004,0.7391013679999999,1,0,0,0,0,0,203.44,0,0
19,5,8,0,1,35,18,4,14.01098511,0.7834862659999999,1,0,0,0,0,0,200.61,0,0
22,7,8,1,0,38,20,4,15.84140317,0.7304410259999999,1,0,0,0,0,0,214.56,0,0
19,8,8,1,0,40,19,5,15.84140317,0.711945846,1,0,0,0,0,0,201.79,0,0
19,8,6,1,0,36,18,4,14.01098511,0.7834862659999999,1,0,0,0,0,0,201.84,0,0
22,12,2,0,0,34,19,3,14.85238004,0.75935447,1,0,0,0,0,0,218.91,0,0
15,5,6,0,2,34,16,4,14.85238004,0.6968314520000001,1,0,0,0,0,0,185.12,0,0
15,6,8,1,0,36,16,4,20.66445863,0.500840876,1,0,0,0,0,0,180.8,0,0
18,9,4,1,0,34,17,3,14.01098511,0.761411788,1,0,0,0,0,0,189.95,0,0
17,9,2,0,1,31,16,2,13.57073908,0.76264126,1,0,0,0,0,0,195.32,0,0
21,9,4,0,1,35,19,3,15.84140317,0.711945846,1,0,0,0,0,0,202.82,0,0
19,7,4,0,2,34,18,4,14.01098511,0.7834862659999999,1,0,0,0,0,0,197.93,0,0
21,9,4,0,1,35,19,3,15.84140317,0.711945846,1,0,0,0,0,0,214.47,0,0
21,10,4,1,0,36,19,2,15.84140317,0.711945846,1,0,0,0,0,0,199.08,0,0
19,6,8,1,1,39,19,4,17.30667595,0.651668825,1,0,0,0,0,0,206.91,0,0
15,11,0,0,1,31,15,2,14.85238004,0.674704153,1,0,0,0,0,0,175.53,0,1
20,9,6,1,0,38,19,3,14.85238004,0.75935447,1,0,0,0,0,0,211.12,0,0
13,7,4,0,0,28,13,2,12.40193927,0.752221743,1,0,0,0,0,0,167.85,0,0
20,5,8,1,1,37,19,4,14.01098511,0.8049556179999999,1,0,0,0,0,0,200.19,0,0
19,9,4,0,1,35,18,4,16.40622355,0.669100624,1,0,0,0,0,0,200.69,0,0
22,9,8,1,0,42,21,5,17.30667595,0.685109188,1,0,0,0,0,0,215.6,0,0
22,8,8,0,0,38,20,3,17.30667595,0.668598107,1,0,0,0,0,0,214.29,0,0
9,7,4,0,0,28,11,3,12.40193927,0.691943365,1,0,0,0,0,0,139.44,0,0
22,9,4,1,1,37,20,2,14.85238004,0.779081248,1,0,0,0,0,0,204.59,0,0
18,6,8,0,0,34,17,3,14.85238004,0.71827742,1,0,0,0,0,0,194.55,0,0
22,8,8,2,0,42,21,2,15.84140317,0.748479323,1,0,0,0,0,0,209.46,0,0
20,10,4,0,0,34,18,1,14.85238004,0.7391013679999999,1,0,0,0,0,0,200.46,0,0
21,9,6,0,0,36,19,3,15.84140317,0.711945846,1,0,0,0,0,0,208.25,0,0
21,7,8,0,0,36,19,3,14.85238004,0.75935447,1,0,0,0,0,0,206.8,0,0
16,8,6,0,0,34,16,3,14.01098511,0.738677935,1,0,0,0,0,0,181.42,0,0
10,7,4,1,0,30,12,3,12.40193927,0.722711274,1,0,0,0,0,0,148.88,0,0
22,9,4,1,1,36,20,3,14.85238004,0.779081248,1,0,0,0,0,0,219.35,0,0
22,6,10,0,0,38,20,3,15.84140317,0.7304410259999999,1,0,0,0,0,0,212.94,0,0
20,10,4,0,0,34,18,2,14.85238004,0.7391013679999999,1,0,0,0,0,0,205.52,0,1
9,7,2,0,1,27,11,3,11.64448285,0.7369532590000001,1,0,0,0,0,0,138.48,0,0
15,7,4,0,1,31,15,4,12.40193927,0.808015768,1,0,0,0,0,0,174.91,0,0
22,7,6,1,1,37,20,3,14.01098511,0.825867039,1,0,0,0,0,0,214.83,0,0
8,4,6,0,0,26,10,2,11.64448285,0.7026573620000001,1,0,0,0,0,0,130.63,1,0
19,8,4,1,1,35,18,3,14.85238004,0.7391013679999999,1,0,0,0,0,0,195.91,0,0
22,3,12,1,0,38,20,5,14.01098511,0.825867039,1,0,0,0,0,0,220.61,0,0
18,8,6,0,0,34,17,3,14.85238004,0.71827742,1,0,0,0,0,0,196.41,0,0
21,8,6,1,0,36,19,3,15.84140317,0.711945846,1,0,0,0,0,0,210.76,0,1
17,9,2,0,1,31,16,3,13.57073908,0.76264126,1,0,0,0,0,0,194.96,0,0
21,9,4,0,1,35,19,3,15.84140317,0.711945846,1,0,0,0,0,0,201.91,0,0
20,7,6,1,1,36,19,4,15.6486,0.7207175840000001,1,0,0,0,0,0,199.51,0,0
20,5,8,1,1,37,19,5,14.01098511,0.8049556179999999,1,0,0,0,0,0,197.0,0,0
13,7,6,0,0,32,14,2,14.01098511,0.690969938,1,0,0,0,0,0,166.46,0,0
18,10,2,0,1,33,17,2,15.84140317,0.6734333509999999,1,0,0,0,0,0,190.01,0,0
22,9,4,1,2,39,21,4,15.84140317,0.748479323,1,0,0,0,0,0,214.46,0,0
18,7,6,1,0,34,17,2,14.01098511,0.761411788,1,0,0,0,0,0,188.91,0,0
16,6,6,0,1,33,16,5,13.57073908,0.76264126,1,0,0,0,0,0,193.02,0,0
21,6,10,1,0,40,20,5,15.84140317,0.7304410259999999,1,0,0,0,0,0,206.35,0,0
18,10,2,0,1,33,17,2,15.84140317,0.6734333509999999,1,0,0,0,0,0,198.78,0,0
21,7,8,2,0,40,20,5,14.85238004,0.779081248,1,0,0,0,0,0,208.56,0,0
22,6,8,0,1,37,20,3,14.01098511,0.825867039,1,0,0,0,0,0,209.81,0,0
