pore_id,num_removed_atoms,num_ZZ_atoms,num_AC_atoms,num_UA_atoms,num_SB_atoms,count_rim_atoms,num_incomplete_hexagons,num_5_membered_rings,max_dist,shape_factor,360_rot,60_clock_rot,120_clock_rot,180_clock_rot,240_clock_rot,300_clock_rot,mirror_vertical,mirror_90_clock_vertical,mirror_150_clock_vertical,mirror_30_clock_vertical,mirror_60_clock_vertical,mirror_120_clock_vertical,time,probability,unique_id
1,18,6,10,0,0,38,18,4,20.66445863,0.531221969,1,0,0,0,0,0,0,0,0,0,0,0,199.12,0.0001,1
2,18,8,4,0,1,33,17,4,13.57073908,0.786112618,1,0,0,0,0,0,0,0,0,0,0,0,198.44,0.0004,401
3,18,10,0,0,1,29,16,1,12.40193927,0.834515097,1,0,0,0,0,0,0,0,0,0,0,0,189.49,0.0058,140
4,18,6,6,0,1,33,17,4,13.57073908,0.786112618,1,0,0,0,0,0,0,0,0,0,0,0,199.37,0.0009,190
5,18,8,4,0,0,30,16,2,13.57073908,0.76264126,1,0,0,0,0,0,0,0,0,0,0,0,189.29,0.0162,77
6,18,8,2,0,2,32,17,3,13.57073908,0.786112618,1,0,0,0,0,0,0,0,0,0,0,0,196.03,0.0002,329
7,18,11,2,1,0,34,17,4,14.85238004,0.71827742,1,0,0,0,0,0,0,0,0,0,0,1,200.51,0.0002,1206
8,18,8,4,0,1,33,17,3,14.01098511,0.761411788,1,0,0,0,0,0,0,0,0,0,0,0,196.99,0.0004,266
9,18,9,2,1,1,32,17,3,12.40193927,0.860198473,1,0,0,0,0,0,0,0,0,0,0,0,193.26,0.0003,1679
10,18,8,4,0,0,30,16,2,12.40193927,0.834515097,1,0,0,0,0,0,0,0,0,0,0,0,192.18,0.0223,2
11,18,6,8,0,0,34,17,3,15.6486,0.6817305840000001,1,0,0,0,0,0,0,0,0,0,0,0,185.66,0.0005,89
12,18,10,4,0,0,34,17,0,15.84140317,0.6734333509999999,1,0,0,0,0,0,0,0,0,0,0,0,180.59,0.0001,157
13,18,8,6,0,0,34,17,4,14.01098511,0.761411788,1,0,0,0,0,0,0,0,0,0,0,0,191.51,0.001,218
14,18,10,4,0,0,34,17,2,15.84140317,0.6734333509999999,1,0,0,0,0,0,0,0,0,0,0,0,186.92,0.0002,267
15,18,6,6,0,0,30,16,2,11.64448285,0.8887990720000001,1,0,0,0,0,0,0,1,0,0,0,0,188.42,0.0144,49
16,18,10,2,0,0,30,16,1,20.66445863,0.500840876,1,0,0,0,0,0,0,0,0,0,0,0,188.25,0.0111,137
17,18,10,2,0,0,30,16,2,13.57073908,0.76264126,1,0,0,0,0,0,0,0,0,0,0,0,189.52,0.0186,155
18,18,8,4,0,0,30,16,2,14.01098511,0.738677935,1,0,0,1,0,0,0,0,0,0,0,0,191.98,0.009000000000000001,185
19,18,10,2,0,0,30,16,2,14.01098511,0.738677935,1,0,0,0,0,0,0,0,0,0,0,0,185.95,0.0126,34
20,18,6,8,0,0,34,17,2,15.84140317,0.6734333509999999,1,0,0,0,0,0,0,0,0,0,0,0,200.24,0.0002,546
21,18,8,6,2,1,41,19,5,16.40622355,0.687435542,1,0,0,0,0,0,0,0,0,0,0,0,195.46,0.0001,588
22,18,8,4,0,1,33,17,2,21.52784439,0.495550276,1,0,0,0,0,0,0,0,0,0,0,0,185.28,0.0001,633
23,18,10,2,0,0,30,16,1,14.01098511,0.738677935,1,0,0,0,0,0,0,0,0,0,0,0,190.01,0.0112,76
24,18,6,6,0,1,33,17,4,14.01098511,0.761411788,1,0,0,0,0,0,0,0,0,0,0,0,194.46,0.0004,208
25,18,10,4,2,0,38,18,1,14.01098511,0.7834862659999999,1,0,0,0,0,0,0,0,0,0,0,0,191.99,0.0001,742
