pore_id,num_removed_atoms,num_ZZ_atoms,num_AC_atoms,num_UA_atoms,num_SB_atoms,count_rim_atoms,num_incomplete_hexagons,num_5_membered_rings,max_dist,shape_factor,360_rot,60_clock_rot,120_clock_rot,180_clock_rot,240_clock_rot,300_clock_rot,mirror_vertical,mirror_90_clock_vertical,mirror_150_clock_vertical,mirror_30_clock_vertical,mirror_60_clock_vertical,mirror_120_clock_vertical,time,probability,unique_id
1,19,7,8,0,0,36,18,4,15.84140317,0.6929572009999999,1,0,0,0,0,0,0,0,0,0,0,0,201.09,0.0002,1
2,19,4,10,1,0,36,18,4,14.01098511,0.7834862659999999,1,0,0,0,0,0,0,0,0,0,0,0,193.32,0.0001,555
3,19,9,4,0,0,32,17,1,14.01098511,0.761411788,1,0,0,0,0,0,0,0,0,0,0,0,199.5,0.0029,142
4,19,7,6,0,1,35,18,3,14.85238004,0.7391013679999999,1,0,0,0,0,0,0,0,0,0,0,0,195.39,0.0002,1051
5,19,7,6,0,0,32,17,3,14.01098511,0.761411788,1,0,0,0,0,0,0,0,0,0,0,0,191.3,0.0069,166
6,19,7,6,0,0,32,17,1,13.57073908,0.786112618,1,0,0,0,0,0,0,0,0,0,0,0,192.76,0.0046,169
7,19,7,8,0,0,36,18,3,16.40622355,0.669100624,1,0,0,0,0,0,0,0,0,0,0,0,197.66,0.0003,1836
8,19,7,4,0,1,31,17,3,12.40193927,0.860198473,1,0,0,0,0,0,0,0,0,0,0,0,204.68,0.0041,689
9,19,9,2,0,1,31,17,3,12.40193927,0.860198473,1,0,0,0,0,0,0,0,0,0,0,0,187.62,0.0034,89
10,19,8,4,1,1,35,18,3,14.01098511,0.7834862659999999,1,0,0,0,0,0,0,0,0,0,0,0,203.33,0.0001,2
11,19,11,2,0,0,32,17,1,15.84140317,0.6734333509999999,1,0,0,0,0,0,0,0,0,0,0,0,193.38,0.0013,94
12,19,7,6,0,0,32,17,3,14.01098511,0.761411788,1,0,0,0,0,0,0,0,0,0,0,0,194.12,0.0069,166
13,19,7,6,0,0,32,17,2,14.01098511,0.761411788,1,0,0,0,0,0,0,0,0,0,0,0,195.15,0.0059,35
14,19,8,4,1,1,35,18,4,14.01098511,0.7834862659999999,1,0,0,0,0,0,0,0,0,0,0,0,194.56,0.0004,292
15,19,9,4,0,0,32,17,3,14.01098511,0.761411788,1,0,0,0,0,0,0,0,0,0,0,0,195.12,0.0054,340
16,19,9,4,0,0,32,17,1,14.01098511,0.761411788,1,0,0,0,0,0,0,0,0,0,0,0,197.44,0.0025,136
17,19,11,4,0,0,36,18,2,18.16254095,0.604398604,1,0,0,0,0,0,0,0,0,0,0,0,209.86,0.0002,436
18,19,9,4,0,0,32,17,1,14.01098511,0.761411788,1,0,0,0,0,0,0,0,0,0,0,0,186.56,0.0018,341
19,19,7,6,0,0,32,17,2,14.01098511,0.761411788,1,0,0,0,0,0,0,0,0,0,0,0,185.43,0.0048,129
20,19,8,6,1,0,36,18,3,15.84140317,0.6929572009999999,1,0,0,0,0,0,0,0,0,0,0,0,191.86,0.0002,556
21,19,9,4,0,0,32,17,3,13.57073908,0.786112618,1,0,0,0,0,0,1,0,0,0,0,0,190.6,0.0035,220
22,19,11,2,0,0,32,17,2,14.85238004,0.71827742,1,0,0,0,0,0,0,0,0,0,0,0,196.6,0.0034,62
23,19,9,2,0,1,31,17,3,13.57073908,0.786112618,1,0,0,0,0,0,0,0,0,0,0,0,199.54,0.0049,106
24,19,9,2,0,1,31,17,3,12.40193927,0.860198473,1,0,0,0,0,0,0,0,0,0,0,0,196.82,0.0046,710
25,19,9,2,0,1,31,17,2,14.01098511,0.761411788,1,0,0,0,0,0,0,0,0,0,0,0,203.77,0.0017,86
26,19,10,4,1,0,36,18,2,16.40622355,0.669100624,1,0,0,0,0,0,0,0,0,0,0,0,198.61,0.0002,773
27,19,11,0,0,0,28,16,0,12.40193927,0.834515097,1,0,0,0,0,0,1,0,0,0,0,0,195.63,0.0379,5
28,19,11,0,0,1,31,17,2,14.01098511,0.761411788,1,0,0,0,0,0,0,0,0,0,0,0,192.87,0.0017,187
29,19,11,0,0,1,31,17,2,14.01098511,0.761411788,1,0,0,0,0,0,0,0,0,0,0,0,190.67,0.0006,875
30,19,5,8,0,0,32,17,3,13.57073908,0.786112618,1,0,0,0,0,0,0,0,0,0,0,0,196.96,0.0093,250
31,19,8,6,1,0,36,18,4,16.40622355,0.669100624,1,0,0,0,0,0,0,0,0,0,0,0,194.92,0.0001,936
32,19,11,0,0,0,28,16,0,12.40193927,0.834515097,1,0,0,0,0,0,1,0,0,0,0,0,186.01,0.0379,5
33,19,7,6,0,0,32,17,3,13.57073908,0.786112618,1,0,0,0,0,0,0,0,0,0,0,0,192.27,0.006,4
34,19,7,6,0,1,35,18,4,15.6486,0.7014949840000001,1,0,0,0,0,0,0,0,0,0,0,0,188.04,0.0002,1029
35,19,9,2,0,1,31,17,2,13.57073908,0.786112618,1,0,0,0,0,0,0,0,0,0,0,0,187.94,0.0022,41
